Nama_Usaha,Alamat_Usaha,Latitude,Longitude
TOKO AISYAH,Curahpoh 004/001,,
SALON SETIA KAWAN,Jl. Argopuro Dusun Krajan RT 002 RW 002,,
""" ERFAN NETWORK """,Dsn. Simpang Tiga Rt/Rw : 006/000,,
Es buah,Desa petung rt 2 rw 1 curahdami bondowoso,,
R-CELL,Desa Mengok Rt 014 Rw 002 Kecamatan Pujer,,
MEBEL AULIA,DUSUN PAKEL RT.004 RW.008,,
Warung peracangan susi,Jalan KH. Agus Salim RT.06/RW.02 ,-7.9103604,113.8263967
SETIA MOTOR,"Botolinggo, RT 009/RW 004, Kel. Botolinggo, Kec. Botolinggo, Bondowoso",,
UD PERISAI,DESA LUMUTAN RT.058 RW.011,,
Warung makan,Desa.suco lor rt.24 rw.006 ,,
UD KK MOTOR,DESA PAKISAN RT.009 RW.002,,
Budidaya Jamur Tiram,Jl. Tamanan Desa Pejagan RT 010 RW 003 Kecamatan Jambesari Darus Sholah Kabupaten Bondowoso,,
fani olshop,perum kademangan asri blok d 1 no.4,,
VIN CELLULER,Dusun LucuBbaru RT 018 RW 004,,
BAROKAH MEUBEL CUSTOM,"DESA LOMBOK KULON RT. 007, RW. 003",,
TOKO EMIL,"DESA LOMBOK KULON RT.07 RW. 03
KECAMATAN WONOSARI KABUPATEN BONDOWOSO",,
UD SUMBER JAYA,DUSUN KASEMEK RT.010 RW.005,,
Zirropizza,Jl. Zainul arifin no 2 ,,
MulyaCELL,Jln. PB. Sudirman No. 45,,
aira kitchen,jl brigpol sudarlan rt 012 rw 004,,
Daging ayam buk tatik,"Sumpelan utara,lumutan botolinggo",,
GWANGJU,JL Y REKSOSISWOYO RT 14 RW 06,,
Kue Kering dan Basah,Desa Bataan Kecamatan Tenggarang,,
Monopterus,Jln. Mastrip Rt 05 Rw 01 Sukowiryo Bondowoso,,
Kue ,"Besuk RT 008/02 Kec. Klabang, Kab. Bondowoso",,
Kerajinan dari kayu,Jln R.E martadinata  ,,
industri krupuk,dusun krajan I desa klampokan kecamatan klabang kabupaten bondowoso,,
Gege Cake,"Jl.A Yani 101, RT:03/RW:01 , Dabasah , Bondowoso",,
Pengepul telur puyuh dan daging puyuh,"Desa Kajar RT 004 RW 002 , Kecamatan Tenggarang, Kabupaten Bondowoso",,
TOKO PRACANGAN,DESA GENTONG RT 07 RW 01,,
Erna salon,Dusun rowo rt 013/005,,
PEDAGANG,JL KISAMANGUNSARKORO 08 RT.30 RW.07,,
BERKAH JAYA,Rt.14 / Rw. 06,-6.1972343,106.8310333
PENJUAL ES,KARANG RT.14 RW.05,-7.8563643,113.9537709
UD HUSAIN,DUSUN BARAT CURAH RT.009 RW.003,,
Sandi Jaya,"Jalan Raya Wringin
Pertokoan Lembung Raya",,
Pedagang Gorengan,Dusun Jasaba RT 25 RW 08,,
AL - BAROKAH,NOGOSARI Rt.19 Rw.04,,
Dagangan Sayur-mayur,Desa Pancoran RT 26 RW 10 Kelurahan Pancoran Kecamatan Bondowoso,,
TOKO SUMBER REJEKI,JL.RAYA PAKISAN KEJAYAN,,
pedagang makanan dan minuman,JL. R.A KARTINI NO. 880 BONDOWOSO,,
TOKO ERNI,BATAAN RT 06 RW 02,-7.9206249,113.8444367
ENY COOKIES,PB. SUDIRMAN I/55 RT 020/ RW 005,,
VICTORIA,PONCOGATI  RT 017 RW 004,,
WARUNG,KRAJAN RT.06 RW.03,-8.0113525,113.7718239
"SALON ""VANDY""",Dusun Krajan Selatan RT 001 RW 001,,
WARUNG DAN ANGKRINGAN Mr.Bond,LETJEN SOEPRAPTO RT. 014 RW. 003,,
MEABEL GAVALUM EXPRES,Dusun Kaliayar Selatan RT.017 RW. 004 Tamanan,,
TOKO BU IMAM,Dalam pasar dadaapn STAN 22,,
Padagang kerupuk,Dusun karang gilih RT 04/Rw 02,,
Apotek Avicenna Sehat,Desa wonosari RT 031 RW 010,,
Apotek Avicenna Sehat 2,Jalan Raya Situbondo D. 21 Desa Kalitapen,,
Kulinir,Jetis,-7.9546231,113.7920144
Rias manten dan dekorasi manten,Jalan raya Situbondo 27 prajekan kidul RT 4 RW 1 Prajekan,,
"TOKO ""HARAPAN""",Sekarputih RT. 014 RW. 004 ,,
,Sekarputih RT. 014 RW. 004,,
INDUSTRI KUE,JL. KH AGUS SALIM RT 18 RW 05,,
Kampung Bikers Shop,Sekarputih masuk gang kampung baru kec.tegalampel kab.bondowoso,,
WIEN DAPUR,DESA BATAAN RT 002 / RW 001,,
ERICK SALON,Wonosari RT. 033 RW. 011 Kec. Wonosari Kab. Bondowoso,,
REPARASI MOBIL DAN CUTTING STICKER,MENGOK,-7.9749041,113.871467
Piscok / Pisang coklat,"SUPRIYADI, RT.014 / RW.003, Kademangan, Bondowoso",,
WARUNG RUJAK PUPUT,Kademagnag RT.006/ RW.001,,
ARIF CC,PERUM PERUMAHAN ALAM REGENCY BLOK D 8,,
WINNA COLLECTION,Dusun Klapa Sawit Barat RT 006 RW 002,,
beternak,jln. ayani gg b no. 28 rt.01 rw 01 bondowoso,,
ANEKA KUE INDAH,LOJAJAR RT.004 RW.002 ,-7.9433656,113.8562459
ARJUNA,Sumber Sari Maesan,,
TOKO ESAY MUSAEYANA,Pasar Cermee,,
"warung ""UMMIK ESI""",jalan letjen suprapto gang pesantren rt 13 rw 03 no.35,,
Pande Besi,Dusun Bunduh RT. 10 RW. 03,,
TOKO RAHMAD,Desa Kretek RT.004 RW.001,,
Zet Laundry,Perum griya klabang permai blok D 10 Rt 14 Rw 03,,
UD TEBU JAYA,GUNOSARI RT 02 RW 01,-8.0022157,113.9752552
ETO WOOD,SUMBERSARI,-8.0346389,113.7808428
PEMBUAT REYENG IKAN,KLABANG RT.05 RW.08,-7.8516705,113.8152737
Pekebun,Sumber Salak rt04 rw02,,
Euis SPA dan Make Up Homecare,A. YANI GG KEJAKSAAN Rt. 001 Rw. 003,,
Omah jahit,Jln.brigjen Katamso 33rt30/rw05 ,,
"""FAFA COOKIES""",Jln.letjen suprapto Gg5 Rt10/Rw02,,
Makmur jaya,Desa kalitapen RT 003 RW 002 Kec.Tapen Kab. Bondowoso,,
GEO SOSIS,Desa wringin RT 02 / RW 05 kec. Wringin Kab. Wringin,,
UD DORANG,JLN KISMANGUNSARKORO RT.009 RW.004 ,,
UD DORANG ,JLN KIS MANGUNSARKORO  RT.009 RW. 004 ,,
Warung makanan dan minuman,Dusun karangpande rt 002/ rw 001 grujugan lor jambesari darus sholah bondowoso,,
Nekocha Thaitea Bondowoso,Jl. Dr. Cipto Mangunkusumo No. 5 ,,
PEDAGANG JAYA,PUCANG ANOM,-8.010809,113.8621696
WARUNG EVI,Sumber salam 1 RT.08 RW.03,,
TOKO RAFA,JL MT HARYONO RT 15 RW 03 DESA KOTAKULON KABUPATEN BONDOWOSO,,
PEDAGANG jr,plalangan,-7.8096238,114.0224735
Sewa Kamera,Dusun Pagungan Rt.003 Rw.001,,
PENJAHIT,DUSUN KAMPUNG BARU RT.06 RW.03,,
VEE COLLECTION,Dusun Pandigung RT 044 RW 014,,
Petani Tebu,Dusun Pasar RT 016 RW 003,,
Dido's Chicken,Desa Glingseran RT.02/01,,
WARUNG ANTIKA,Prajekan Kidul RT.005 RW.012,,
UD ELFADZA JAYA,Gebang 07/04,-7.9224912,113.8522608
UD EVITA,Krajan RT/RW 009/003,,
Kuliner,Alun alun Kota,,
TOKO ANGGUN,Jl. Kh. Syamsul Arifin Rt. 011 Rw. 004,,
YUM FOOD,Jln. Kis Mangun Sarkoro. Gang Cincin Mas no 52-A. RT 4/RW 1,,
Toko peracangan,Jl sucipto yudodiharjo no 06 rt 30 rw 08,,
RAJAWALI KONSTRUKSI,Curahdami RT 08 RW 02,-7.9129901,113.7915695
Konter jual beli pulsa,Mandiro,-7.8802838,113.8326099
PENJUAL PECAH BELAH KELILING,DUSUN KLOANGAN RT.08 RW.05,,
Toko Krupuk Bawang,Jebung Kidul RT. 013 RW. 003,,
Dagang toko eceran,Sumber tengah  binakal,,
Toko peracangan eceran,Sumber tengah,,
PENJUAL KELILING,DESA BOTOLINGGO RT 37 RW 13,,
DAGANG BESI TUA,PJKA BONDOWOWO,,
penjuwal eceran,"desa pelalangan, rt 15 rw 04, kecamatan Wonosari, kabupaten Bondowoso",,
krupuk jaya,mandiri rt02/01,,
TANI MAJU,Dusun Gajas,,
UD PERDANA,Dusun Masjid RT.009 RT.005,,
,Dusun masjid RT.009 RW.005,,
Khoe Creatif Wood,Purnama Rt 10 Rw 05,,
Fafa taylor,Bunduh rt 010 tw 003 bataan tenggarang bondowoso,-7.9175135,113.8428315
PENJUAL PAKAN BURUNG,DUSUN PASAR RT.03 RW.01,,
Desain Optimal,Jl supriyadi Belakang SMAN 3 KAB BONDOWOSO,,
Frozen Food Kampung Arab,"Belakang SMAN 3, Jl. Supriyadi, Kademangan Kulon, Kademangan, Kec. Bondowoso, Kabupaten Bondowoso, Jawa Timur 68217",,
TOKO KELONTONG BU SAHRIMA,Krajan II RT 5 Rw 5 Prajekan Kidul,,
MRK KOPI ( MISTER KARMEN ),"JEMBATAN KIRONGGO, JALAN JENDPOL SUCIPTO YUDODIHARJO",,
BIN HASAN,Jl. Hos Cokroaminoto No. 4 Rt. 002 Rw. 001,,
TOKO JIHAN BATIK JF PARFUM,JL.LETNAN SUDIONO  9,,
Tempe daun,Jalan Panjaitan Tamansari Bondowoso,-7.9227844,113.8197714
Rumah Alza,Jl. MT Haryono nomor 52 RT 015 RW 003 Kota Kulon,,
Warung kopi,Jembatan kironggo,,
UD INSAN ABADI,Jl. KH. Zainul Arifin RT.004/ RW.001,,
UD. HAMDALAH,Sumber pandan RT 02 RW 01 ,,
jual beli keperluan sehari-hari,Penanggungan RT 10 RW 04 Desa Jetis,,
JAYA ABADI,Dusun Krajan RT 001 / Rw 001,,
Online Shop,"Jl. Sersan Atmari Curahpoh RT 05 RW 01 Kecamatan Curahdami, Kabupaten Bondowoso",,
JUAL PULSA TOKEN,Dusun Krajan Timur RT. 010 RW. 002,,
KRIPIK UBI UNGU,Dusun Gajas RT 003 RW 001,,
warung kopi,petung,-7.84624,113.7369977
boutiq jahit,desa pekalangan kecamatan tenggarang kabupaten bondowoso,,
BINTANG JAYA,DUSUN SRATEN II RT.004 RW.002,,
BENGKEL LAS SETIA HATI,KEMBANG,-7.943275,113.7988114
"UD ""PERMATA""",Desa Ramban Kulon Rt 11 Kecamatan Cermee Kabupaten Bondowoso,,
TOKO AL-FAZAA,KRAJAN TAPEN RT.001 RW.001 ,,
TOKO AL-FAZZA,DESA KRAJAN TAPEN RT.001 RW. 001 ,,
UD LIUR MAS,JL.IMAM BONJOL RT.013 RW.003,,
JUAL BELI BATU BATA,DESA JURANGSAPI RT 24 RW 08 ,,
WARUNG ANDIRA,DUSUN KESEMEK RT.012 RW. 006,,
WARUNG ANDIRA ,DUSUN KASEMEK RT.012 RW.006,,
ALFARI MANDIRI,Gentong,-7.8593731,113.9013753
PANGKAS RAMBUT SUMBAWA,"Grujugan Kidul, RT. 17 RW. 03",-7.9700773,113.8249274
""" TOKO DUA PUTRI ""","Desa Kerang Rt.013 Rw,004 Dusun Jatirejo",,
"RUMAH ES ""UMIK""","DUSUN LUMBUNG RT 37,RW 06 DESA BATAAN,KEC TENGGARANG BONDOWOSO",,
kameela (Gamis Syar'i),"Ruko no 2, sebelah gardu PLN, Sumbersalam, tenggarang",,
ASRI,Ds. Mandiro RT.19 RW.06,,
TAHU SUSU,"Bondowoso, Jl. Kh. Agus Salim GG Taman, RT 32 Rw 01 kel. blindungan, Kecamatan Bondowoso",,
PEDAGANG CEMILAN,DUSUN KRAJAN RT.30 RW.06,,
FAJAR MEBEL JAYA,BADEAN RT : 018 / 002,,
Hanggar Colection,jl.Saliwiryo Pranowo no 29 Rw/Rt 026/007,,
pedagang makanan,Jl.RA.Kartini 44 Blindungan Bondowoso,,
Peternakan kelinci,KRAJAN,-8.002702,113.861871
Fajar Bougenville,Jl. Diponegoro v/37 ,,
TOKO SEMBAKO,RT.007 RW.006,,
BARATHA COFFEE LAB,"Jl. Saliwiryo Pranowo No.11, Gg. Taman, Kotakulon, Bondowoso",,
Edo clothing shop,Jl. Pakisan perum bataan permai blok a rt25 rw8 no49,,
Market Player,"Desa Sumber Salam RT.27/08
Kecamatan Tenggarang Kabupaten Bondowoso",,
Isi ulang AIR Dra'i,KRAJAN 1 RT.05/RW.01 SUMBER WRINGIN,,
Budidaya Ikan Lele,Dusun Bunutan RT 44 RW 14,,
F4MILY SERVIS,Perum Kembanh Permai Blok BB 04,,
ROSAND SHOP,Dusun Koarah 13/04,,
Toko Rafa,RT.26 Rw.03 Dusun Cempaka,,
UD. CONDONG TRESNO,Dusun Moncek,,
Driver Online,A YANI GG A,,
"UD. ""KUMPUL TANI""",DESA SUMBER KALONG KECAMATAN WONOSARI,,
ziya bubur,Zainul Arifin no 46,,
UD SUMBER KAYU,"TEMPAT USAHA, ALAT ANGKUT DAN LAIN - LAIN",,
TEMBEL BAN FAOZI,MANGLI RT.016/003,,
Dagang / toko sembako,Jl.Raya Situbondo Perum Klabang,,
Usaha Jahit,Jalan Abd. Wahid 27/6 Kel. Badean Kec. Bondowoso Kab. Bondowoso,,
SUMBER REJEKI,DESA KEMBANG RT 25 RW 04 KECAMTAN TLOGOSARI KABUPATEN BONDOWOSO KODE POS 68272,,
Apotek Zara Farma,"Jl. KH. Asyari, RT 021 RW 004, Kelurahan Kademangan, Bondowoso",,
UD. MAJU JAYA MEBEL,KRAJAN 2,-8.002702,113.861871
FARID TANI,Dusun Karang Malang RT 24 RW 05,,
UD FARID JAYA,Desa Wonosari RT 06 RW 02,,
UD. SINAR BARU,Desa Karanganyar RT. 02 RW. 01,,
TEMPE MADINAH,"JL IMAM BONJOL GG I/41 KELURAHAN KADEMANGAN RT 13,RW 3 KECAMATAN BONDOWOSO",,
UD VARIA TANI,Jl. Jend. Pol. Sucipto Yudodiharjo No.47,,
One kids Farm,jln kh agussalim rt12 rw 03,,
Peternak Ayam Joper,Dsn Sraten Ii RT.02 RW.02 Desa Prajekan Kidul Kec Prajekan,,
UD NANDIQI,DESA JERUK SOKSOK RT.002 RW.001,,
,DESA JERUK SOKSOK RT.002 RW.OO1,,
TOKO YOGA,Los PASAR KITA JEBUNG KIDUL,,
PEDAGANG CILOK,GRUJUGAN LOR RT/RW 011/003,,
TOKO BINTANG,MASKUNING WETAN RT. 013 RW. 002,,
Dua putra,dusun nyiuran RT.12/RW.05 Desa Lombok Wetan,,
Gugun Jaya,"dusun nyiuran RT.12, RW.05, Desa Lombok wetan ",,
WARUNG BAKSO,KRAJAN RT 7 RW 03,,
FARIDA JAMUR,Dusun Plampang Utara RT 15 RW 04,,
FARIDA CELL,PEKALANGAN RT.016/003,,
Dagang Kelontong,Desa Gununganyar Rt. 24 RW. 06 Kecamatan Tapen,,
Toko Sinar Rejeki,Pasar Pujer Desa Maskuning Wetan Rt.20 Rw.03,,
farida sovenir,dusun pal 16,,
Warung Pop Ice dan Jigor,Jendpol. Sucipto Yudodiharjo 16 Rt 029 Rw. 008,,
RIAS PENGANTIN,Dusun Krajan RT. 006 RW. 002,,
PRACANGAN ,LUMBUNG RT.04 RW.01,-7.9378929,113.7997015
TERNAK KAMBING,dusun mengen barat  Rt. 013 RW. 004,,
"TOKo ""DUa N """,DESA KERANG RT.005 RW.003,,
MIABILL,Maskuning Wetan RT 11/ RW 02 Pujer Bondowoso,,
dian olshop,tlogosari rt/rw 019/004,,
TOKO ERFAL PUTRA,DESA SUMBER CANTING RT.005 RW.004,,
Awfa Shop,Desa Taman RT 003 / RW 001 ,,
Farida food,JL.KH AGUS SALIM BLINDUNGAN BONDOWOSO,,
pedagang ikan asin,sumber wringin rt/rw 26/05,,
Pedagang sosis,DESA GENTONG RT.020 RW.008,,
Toko Sembako,Desa Kretek RT 003 RW 001,,
rida olshop,desa pejaten RT 16 RW 04 kecamatan bondowoso,,
TOKO TENANG,Dusun Paceh Rt. 013 Rw. 004,,
,Dusun Paceh Rt. 013 Rw. 004 ,,
PRACANGAN ,MANDIRO RT.12 RW.04,,
CAHAYA TERANG,Bercak Asri,,
Fina jaya ilahi,Dusun Carmi RT/RW. 011/002,,
rukun jaya,dusun krajan ,,
Pabrik Es Krim malika,Desa Lojajar Rt09 Rw05 Kecamatan Tenggarang Kab.Bondowoso,,
Toko Hj. Suprihatin,Jl. Raya Tamanan RT 5 / RW 1,,
Toko Aksesoris,"Prajekan Lor RT2, RW7",,
Warung dan Conter celuler,"Kluncing Barat, Rt/Rw, 017/004",,
TOKO PARISI,Dusun Krajan RT 05 RW 01,,
Jigor ulek,Desa sukosari lor rt 14 rw 06,,
DAGANG,PASAR KITA DESA JEBUNG KIDUL,,
Catering,Prajekan lor rt 01 rw 06,-7.7886452,113.9833799
UD SEJATI,DESA TAMAN RT.069 RW.008,,
FARUQ FARM,Desa Cermee Rt. 026 ,,
DANIAL BESI TUA,Mengok RT. 028 RW. 008,,
